Data,Cod_Sensor,Lectura,Fecha,Topic
0,5,Temp1,"2019-04-08 12:48:20",DRN111
0,6,ain1,"2019-04-08 12:48:20",DRN111
0,7,ain2,"2019-04-08 12:48:20",DRN111
0,8,ain3,"2019-04-08 12:48:20",DRN111
25.13,5,Temp1,"2019-04-08 12:48:17",DRN111
0,6,ain1,"2019-04-08 12:48:17",DRN111
0,7,ain2,"2019-04-08 12:48:17",DRN111
0,8,ain3,"2019-04-08 12:48:17",DRN111
0,5,Temp1,"2019-04-08 12:48:16",DRN111
0,6,ain1,"2019-04-08 12:48:16",DRN111
0,7,ain2,"2019-04-08 12:48:16",DRN111
0,8,ain3,"2019-04-08 12:48:16",DRN111
25.13,5,Temp1,"2019-04-08 12:48:12",DRN111
0,6,ain1,"2019-04-08 12:48:12",DRN111
0,7,ain2,"2019-04-08 12:48:12",DRN111
0,8,ain3,"2019-04-08 12:48:12",DRN111
0,5,Temp1,"2019-04-08 12:48:11",DRN111
0,6,ain1,"2019-04-08 12:48:11",DRN111
0,7,ain2,"2019-04-08 12:48:11",DRN111
0,8,ain3,"2019-04-08 12:48:11",DRN111
25.13,5,Temp1,"2019-04-08 12:48:08",DRN111
0,6,ain1,"2019-04-08 12:48:08",DRN111
0,7,ain2,"2019-04-08 12:48:08",DRN111
0,8,ain3,"2019-04-08 12:48:08",DRN111
0,5,Temp1,"2019-04-08 12:48:07",DRN111
0,6,ain1,"2019-04-08 12:48:07",DRN111
0,7,ain2,"2019-04-08 12:48:07",DRN111
0,8,ain3,"2019-04-08 12:48:07",DRN111
25.13,5,Temp1,"2019-04-08 12:48:04",DRN111
0,6,ain1,"2019-04-08 12:48:04",DRN111
0,7,ain2,"2019-04-08 12:48:04",DRN111
0,8,ain3,"2019-04-08 12:48:04",DRN111
0,5,Temp1,"2019-04-08 12:48:03",DRN111
0,6,ain1,"2019-04-08 12:48:03",DRN111
0,7,ain2,"2019-04-08 12:48:03",DRN111
0,8,ain3,"2019-04-08 12:48:03",DRN111
25.13,5,Temp1,"2019-04-08 12:48:00",DRN111
0,6,ain1,"2019-04-08 12:48:00",DRN111
0,7,ain2,"2019-04-08 12:48:00",DRN111
0,8,ain3,"2019-04-08 12:48:00",DRN111
0,5,Temp1,"2019-04-08 12:47:59",DRN111
0,6,ain1,"2019-04-08 12:47:59",DRN111
0,7,ain2,"2019-04-08 12:47:59",DRN111
